user_id,impressions,revenue,rpi,Unity,Facebook,Admob
1000000,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000001,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000002,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000003,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000004,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000005,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000006,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000007,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000008,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000009,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000010,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000011,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000012,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000013,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000014,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000015,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000016,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000017,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000018,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000019,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000020,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000021,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000022,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000023,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000024,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000025,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000026,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000027,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
1000028,1,0,0,"1,6,0,0.03","5,5,0,0.03","6,1,0,0.03"
